code,url,quality,gsc_impressions,gsc_clicks,decision,reason
P0212,https://www.obd2hq.com/en/codes/p0212,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0212,https://www.obd2hq.com/de/codes/p0212,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0212,https://www.obd2hq.com/es/codigos/p0212,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0212,https://www.obd2hq.com/tr/kodlar/p0212,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0212,https://www.obd2hq.com/fr/codes/p0212,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0213,https://www.obd2hq.com/en/codes/p0213,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0213,https://www.obd2hq.com/de/codes/p0213,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0213,https://www.obd2hq.com/es/codigos/p0213,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0213,https://www.obd2hq.com/tr/kodlar/p0213,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0213,https://www.obd2hq.com/fr/codes/p0213,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0214,https://www.obd2hq.com/en/codes/p0214,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0214,https://www.obd2hq.com/de/codes/p0214,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0214,https://www.obd2hq.com/es/codigos/p0214,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0214,https://www.obd2hq.com/tr/kodlar/p0214,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0214,https://www.obd2hq.com/fr/codes/p0214,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0215,https://www.obd2hq.com/en/codes/p0215,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0215,https://www.obd2hq.com/de/codes/p0215,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0215,https://www.obd2hq.com/es/codigos/p0215,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0215,https://www.obd2hq.com/tr/kodlar/p0215,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0215,https://www.obd2hq.com/fr/codes/p0215,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0218,https://www.obd2hq.com/en/codes/p0218,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0218,https://www.obd2hq.com/de/codes/p0218,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0218,https://www.obd2hq.com/es/codigos/p0218,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0218,https://www.obd2hq.com/tr/kodlar/p0218,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0218,https://www.obd2hq.com/fr/codes/p0218,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0219,https://www.obd2hq.com/en/codes/p0219,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0219,https://www.obd2hq.com/de/codes/p0219,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0219,https://www.obd2hq.com/es/codigos/p0219,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0219,https://www.obd2hq.com/tr/kodlar/p0219,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0219,https://www.obd2hq.com/fr/codes/p0219,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0220,https://www.obd2hq.com/en/codes/p0220,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0220,https://www.obd2hq.com/de/codes/p0220,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0220,https://www.obd2hq.com/es/codigos/p0220,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0220,https://www.obd2hq.com/tr/kodlar/p0220,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0220,https://www.obd2hq.com/fr/codes/p0220,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0221,https://www.obd2hq.com/en/codes/p0221,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0221,https://www.obd2hq.com/de/codes/p0221,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0221,https://www.obd2hq.com/es/codigos/p0221,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0221,https://www.obd2hq.com/tr/kodlar/p0221,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0221,https://www.obd2hq.com/fr/codes/p0221,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0222,https://www.obd2hq.com/en/codes/p0222,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0222,https://www.obd2hq.com/de/codes/p0222,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0222,https://www.obd2hq.com/es/codigos/p0222,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0222,https://www.obd2hq.com/tr/kodlar/p0222,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0222,https://www.obd2hq.com/fr/codes/p0222,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0223,https://www.obd2hq.com/en/codes/p0223,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0223,https://www.obd2hq.com/de/codes/p0223,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0223,https://www.obd2hq.com/es/codigos/p0223,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0223,https://www.obd2hq.com/tr/kodlar/p0223,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0223,https://www.obd2hq.com/fr/codes/p0223,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0224,https://www.obd2hq.com/en/codes/p0224,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0224,https://www.obd2hq.com/de/codes/p0224,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0224,https://www.obd2hq.com/es/codigos/p0224,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0224,https://www.obd2hq.com/tr/kodlar/p0224,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0224,https://www.obd2hq.com/fr/codes/p0224,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0225,https://www.obd2hq.com/en/codes/p0225,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0225,https://www.obd2hq.com/de/codes/p0225,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0225,https://www.obd2hq.com/es/codigos/p0225,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0225,https://www.obd2hq.com/tr/kodlar/p0225,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0225,https://www.obd2hq.com/fr/codes/p0225,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0226,https://www.obd2hq.com/en/codes/p0226,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0226,https://www.obd2hq.com/de/codes/p0226,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0226,https://www.obd2hq.com/es/codigos/p0226,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0226,https://www.obd2hq.com/tr/kodlar/p0226,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0226,https://www.obd2hq.com/fr/codes/p0226,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0227,https://www.obd2hq.com/en/codes/p0227,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0227,https://www.obd2hq.com/de/codes/p0227,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0227,https://www.obd2hq.com/es/codigos/p0227,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0227,https://www.obd2hq.com/tr/kodlar/p0227,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0227,https://www.obd2hq.com/fr/codes/p0227,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0228,https://www.obd2hq.com/en/codes/p0228,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0228,https://www.obd2hq.com/de/codes/p0228,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
P0228,https://www.obd2hq.com/es/codigos/p0228,fallback_without_gsc_signal,0,0,SITEMAP_REMOVE_KEEP_CRAWLABLE,fallback_without_gsc_signal
